Index,Target Investment Country
1,Africa
2,Americas
3,Argentina
4,Asia
5,Asia Pacific
6,Australia
7,Austria
8,Bahamas
9,Bahrain
10,Belgium
11,Benelux
12,Bermuda
13,Brazil
14,British Virgin Islands
15,Bulgaria
16,Canada
17,Caribbean
18,Cayman Islands
19,Central and Eastern Europe
20,Chile
21,China
22,Colombia
23,Curaçao
24,Cyprus
25,Czech Republic
26,DACH
27,Denmark
28,Dubai
29,East Africa
30,Ecuador
31,Egypt
32,Estonia
33,Europe
34,Finland
35,France
36,Germany
37,Ghana
38,Gibraltar
39,Global
40,Greece
41,Guatemala
42,Guernsey
43,Hong Kong
44,Hungary
45,Iceland
46,India
47,Indonesia
48,Iran
49,Iraq
50,Ireland
51,Israel
52,Italy
53,Jamaica
54,Japan
55,Jordan
56,Kazakhstan
57,Kenya
58,Kuwait
59,Latin America
60,Latvia
61,Lebanon
62,Liechtenstein
63,Lithuania
64,Luxembourg
65,Malaysia
66,Malta
67,Mauritius
68,MENA
69,Mexico
70,Middle East
71,Monaco
72,Morocco
73,Namibia
74,Nepal
75,Netherlands
76,New Zealand
77,Nigeria
78,Nordics
79,North America
80,Norway
81,Oman
82,Pakistan
83,Panama
84,Peru
85,Philippines
86,Poland
87,Portugal
88,Puerto Rico
89,Qatar
90,Romania
91,Russia
92,Saudi Arabia
93,Scandinavia
94,Serbia
95,Singapore
96,Slovakia
97,Slovenia
98,South Africa
99,South America
100,South Korea
101,Southeast Asia
102,Spain
103,Sri Lanka
104,Sweden
105,Switzerland
106,Taiwan
107,Tanzania
108,Thailand
109,Trinidad and Tobago
110,Turkey
111,Uganda
112,Ukraine
113,United Arab Emirates
114,United Kingdom
115,United States
116,Uruguay
117,Vietnam
