Index,Preferred Industry
1,AdTech
2,Advanced Manufacturing
3,Advanced Materials
4,Advertising
5,Aerospace and Defense
6,Agribusiness
7,Agriculture & FoodTech
8,AI & Machine Learning
9,Air Transportation
10,Aircraft
11,Airlines
12,Alternative Energy
13,Animal Health
14,Apparel and Fashion
15,Application Software
16,Aquaculture
17,Architecture
18,Art
19,Artificial Intelligence
20,Asset Management
21,Automation/Workflow
22,Automotive
23,Autonomous Vehicles
24,Aviation
25,B2B Payments
26,Banking
27,Beauty
28,Beverages
29,Big Data
30,Biotechnology
31,Blockchain
32,BPO/Outsource Services
33,Branding
34,Broadcasting
35,Building Products
36,Business Products and Services
37,Cannabis
38,Capital Markets/Institutions
39,Casinos and Gaming
40,Catering
41,Chemicals and Gases
42,Clean Technology
43,Climate & Sustainability
44,Clinics/Outpatient Services
45,Cloud Computing
46,Clothing
47,Commerce
48,Commercial Banks
49,Commercial Real Estate
50,Commercial Services
51,Commercial Transportation
52,Communications and Networking
53,Computer Hardware
54,Construction
55,Construction Technology
56,Consulting Services (B2B)
57,Consumer
58,Consumer Durables
59,Consumer Goods
60,Consumer Non-durables
61,Containers and Packaging
62,Content
63,Credit
64,Cryptocurrency
65,Customer Experience
66,Cybersecurity
67,D2C
68,Data Analytics
69,Data Center
70,Database Software
71,Deep Tech
72,Defense
73,DeFi
74,Department Stores
75,Developer Tools
76,DevOps
77,Diagnostics
78,Dietary Supplements
79,Digital Health
80,Distribution
81,Drones
82,Drug Discovery
83,E-commerce
84,EdTech
85,Education
86,Elderly Care
87,Electric Utilities
88,Electrical Equipment
89,Electronic Components
90,Electronics
91,Energy
92,Energy Equipment
93,Energy Exploration
94,Energy Infrastructure
95,Energy Production
96,Energy Services
97,Energy Storage
98,Energy Transportation
99,Engineering
100,Enterprise Software
101,Entertainment
102,Environmental Services (B2B)
103,Esports
104,Events
105,Exploration
106,Fashion
107,Financial Services
108,FinTech
109,Fishery
110,Fitness
111,Food and Beverage
112,Food Products
113,Food Technology
114,Footwear
115,Foreign Exchange
116,Forestry
117,Fraud
118,Frontier Technology
119,Future of Work
120,Gaming
121,Gas Utilities
122,Generative AI
123,Genomics
124,Gold Mining
125,Government
126,HRTech
127,Hardware & Robotics
128,Health Technology
129,Healthcare
130,Healthcare Devices and Supplies
131,Healthcare Services
132,Hedge Fund
133,High-tech
134,Homeland Security
135,Home Furnishings
136,Hospitality
137,Hospitals/Inpatient Services
138,Hotels and Leisure
139,Household Appliances
140,Household Products
141,Human Capital
142,Hydrogen
143,ICT
144,IT Services
145,Identity access management
146,Impact Investing
147,Industrial
148,Industrial Chemicals
149,Industrial Supplies and Parts
150,Industrial Tech
151,Industrials
152,Information Services (B2C)
153,Information Technology
154,Infrastructure
155,Insurance
156,Insurtech
157,Internet
158,Internet of Things
159,Investment Management
160,Iron and Steel Mining
161,Laboratory Services (Healthcare)
162,Legal
163,Legal tech
164,Leisure
165,Life Sciences
166,Lifestyle
167,Logistics
168,Luxury Goods
169,Machinery (B2B)
170,Managed Care
171,Manufacturing
172,Marine
173,Maritime
174,Marketing
175,Marketplaces
176,Martech
177,Materials and Resources
178,Medical
179,Medical Devices
180,Med-tech
181,Mental Health
182,Media
183,Media & Entertainment
184,Metals
185,Metaverse
186,Military
187,Minerals and Mining
188,Mining
189,Mobile
190,Mobility
191,Monitoring Equipment
192,Movies
193,Multi-line Mining
194,Multimedia and Design Software
195,Music
196,NFT
197,Nanotechnology
198,Natural Resources
199,Network Management Software
200,New Media
201,News
202,Not Described
203,Nutraceuticals
204,Office Electronics
205,Office Services (B2B)
206,Oil and Gas
207,Oncology
208,Open Source
209,Operating Systems Software
210,Packaging
211,Payments
212,Personal Products
213,Pet
214,Pharmaceuticals
215,Platform as a Service
216,Power Generation
217,Precious Metals and Minerals Mining
218,Printing Services (B2B)
219,Private Equity
220,Professional Services
221,Proptech
222,Public Equity
223,Public Sector
224,Publishing
225,Quantum Computing
226,Radio and Television
227,Real Estate
228,Recreational Goods
229,Recruitment
230,Renewable Energy
231,Restaurants and Bars
232,Retail
233,Robotics
234,Safety
235,Security
236,Security Services (B2B)
237,Semiconductors
238,Signage
239,Smart Cities
240,Social/Platform Software
241,Software & SaaS
242,Solar
243,Space Technology
244,Specialty Chemicals
245,Specialty Retail
246,Sports
247,Staffing
248,Storage (IT)
249,Supply Chain
250,Surgical Devices
251,Sustainability
252,Synthetic Biology
253,Systems and Information Management
254,TMT
255,Technology
256,Telecommunications
257,Textiles
258,Therapeutics
259,Tourism
260,Toys
261,Trading
262,Training
263,Transportation
264,Travel
265,Utilities
266,Venture Capital
267,Video Games
268,Virtual Reality
269,Waste Management
270,Water
271,Wealth Management
272,Wearables
273,Web3
274,Wellness
275,Wine and Spirits
276,Wireless
277,Workforce Development
