index,Primary Investor Type,target Investment Country,Investment Type,Preferred Industry
0,"1,4",1,2,4,6,16,70,76,114,115,"1,26,66,81",2,8,19,25,27,29,36,57,66,83,91,103,129,146,153,154,158,189,241,255,268
1,"1,64",0,26,8,36,54,57,84,85,107,125,129,151,227
2,1,0,"26,95",5,6,7,13,14,22,42,43,54,64,71,84,91,100,101,107,110,111,118,120,129,136,150,155,156,167,171,173,174,180,182,183,185,190,227,237,239,243,246,249,251,264
3,131,0,0,36,57,108,129
4,131,"1,4,70",0,36,57,91,108,111,255
5,"64,107,131",0,"26,40,43",8,19,57,64,91,100,108,120,122,129,154
6,"71,119",35,46,56,8,38,50,91,107,108,171
7,"6,107",0,69,36,72,129
8,1,"0",26,"7,8,66,83,84,91,101,111,120,129,136,153,167,227,232,249,251"
9,129,16,0,0
10,"107,131",0,0,"7,57,107,108,111,129,151,165,174,190,227"
11,"59,97,107",2,4,33,"18,41,69,72",8,19,29,36,57,66,91,107,108,129,151,153,154,158,165,171,177,182,207,237,241,255,256
12,"97,107",0,"26,40,69,72",44,72,129,154,165,227
13,"107,131",0,"26,40",85,91,101,107,153,165,171,182,197,232
14,131,50,"0","36,43,47,54,59,61,83,84,107,108,111,129,144,165,177,224,232,251"
15,"1,64",100,43,"3,41,91,143,152,169,189"
16,131,0,0,"4,16,83,108,113,120,128,190,227,231,241,268"
17,"107,131",0,66,71,91,129
18,131,0,0,"2,4,7,8,19,23,31,54,57,66,84,107,108,120,128,153,163,190,207,221,227,231,241,249"
19,131,10,26,71
20,"107,131",0,0,"57,64,100,108,129"
21,"97,107",0,0,"5,57,91,101,107,129,136,151,154,182,227,255,263
22,"107,131","33,70,101,114,115","0","7,8,29,47,50,57,83,108,153,158,189,241"
23,"107,131","1,4,70,99","0","8,42,57,64,108,118,129,221,241"
25,"97,107","4,33,79",0,"36,57,107,129,255"
26,97,"33,70",72,"129,150,255"
27,89,"39","28,69,72","36,91,107,129,198,227"
28,97,115,"0","14,22,57,58,59,80,101,111,155,183,214,216,232"
29,"1,131",0,0,0
30,"97,107","4,21,33,101,115","0","57,91,107,129,151,227,251,255"
31,131,"35,114",26,"36,57,66,100,108,129,153,235,241"
32,119,113,"26,40",5,91,129,154,177,184,227,255
33,"6,107",0,"39,42,72",52,57,100,108,129,157,183,227,255
34,"97,107",0,"0","34,36,57,66,91,108,128,129,151,157,165,171,174,241,263"
35,131,0,0,255
36,131,114,"26,40,49,81",0
37,97,"33,79",0,"6,7,9,36,41,50,91,99,101,109,111,129,150,155,165,167,171,180,183,214,255,256"
38,56,0,"38,81",0
39,"6,107",115,"0","7,29,42,83,91,107,129,151,154,155,165,171,263"
40,131,0,0,"19,71"
41,97,114,"0","21,108,129,155,162,176,218"
42,"58,107","0","26,40","8,19,54,57,66,75,83,84,107,108,120,128,153,163,165,176,221,241"
43,131,54,"0","8,19,89,108,129,153,165,241"
44,"97,107",115,0,"36,111,129,227"
45,97,105,"18,44,68,72,76",154
46,131,35,0,"4,7,18,29,42,46,57,81,84,85,91,108,110,111,118,120,157,166,174,182,189,224,232,235,259,264"
47,"97,107",0,0,255
48,74,"0",42,0
49,"107,131",0,0,"57,100,108,129"
50,"1,64",114,43,"8,19,43,66,108,143,154,157"
51,6,2,4,33,"0","35,36,41,57,91,101,107,129,154,171,183,232,246,263,265"
52,"107,131",0,"42,77",57,71,77,100,108,129,180,251
53,"6,107",0,"18,35,41,69,72",154
54,97,79,0,"36,107,129,151"
55,1,114,0,0
56,131,13,0,241
57,1,0,0,"57,77,79,130,179,191,250"
58,89,"13,43,53,87,114",0,"35,44,69,72",154
59,"107,131","6,16,33,51,76,115",0,255
60,131,54,"49,81",71,83,84,85,91,101,108,120,153,158,182,241
61,131,"16,69,115","0","34,36,108,255"
62,"107,131",47,"66,81,83","129,165,241"
63,97,114,"0","2,5,8,34,36,43,54,57,84,91,101,129,151,154,164,165,171,182,198,227,231,232,249,251,269"
64,"6,107","1,2,4,33,70,115","13,68,72,79","36,57,83,91,107,129,151,153,154,165,169,171,177,211,241"
65,97,114,0,0
66,131,"0","1,66,81","8,19,21,174,176"
67,28,0,0,"57,64,71,100,129,165"
68,1,115,"26,81","2,29,36,57,91,129,146,151,154,165,177,255"
69,"97,107",0,0,"36,107,108,129,255"
70,1,"113,114",0,"73,120,154,273"
71,131,113,0,"64,273"
72,131,"0",26,273
73,119,0,"35,69,72",154
74,"97,107","4,16,51,114,115",0,"34,36,45,66,83,107,129,151,153,154,165,171,182,227,232,241,263"
75,28,54,0,"129,153,165,171"
76,"97,107","2,4,33,70,115","69,72",36,41,57,101,107,164,171,232
77,"58,107","1,2,20,21,33,46,59,70,99,101,115",39,"36,57,91,107,129,153,171,254"
78,"107,131",0,"0","8,19,30,45,57,64,66,71,75,100,108,129,175,237,240"
79,"97,107",79,0,"52,57,69,107,129,151,154,255,276"
80,131,0,0,"7,70,91,121,227,263,273"
81,1,"26,36","26","2,8,19,36,42,43,45,54,57,66,81,84,91,108,120,128,153,155,156,163,165,207,233,241,243,268"
82,28,95,"0","31,64,107,108,153,154,185,196,273"
83,95,"16,43,53,87,114",0,"0"
84,"97,107",79,0,"107,129,151,241"
85,"107,131",0,0,"8,19,36,62,75,101,108,119,129,157,175,182,190,208,232,235"
86,"59,107,131","33,115",26,"77,129,130,165,179,218"
87,5,0,"0","57,129,130,165,227"
88,131,0,66,"57,129,157"
89,97,35,"10,26,49,81,94","25,36,57,83,129,153,165,171,189"
90,131,0,81,"36,255"
91,"97,107",115,"0","3,36,41,57,84,85,91,99,102,107,108,121,141,152,154,155,165,176,227,241,249"
92,"6,107",0,"35,69,72","14,22,57,58,59,88,91,101,111,112,183,186,198,212,216,227,232"
93,1,105,0,"8,19,29,36,57,91,107,129,153,165,177,241,255,83"
95,"107,131",2,4,33,"0","108,128,129,153,165,180,255,258"
96,28,"0",0,"8,19,31,108,128,129,154,183"
97,34,"43",0,"120"
98,"97,107","16,115",0,"36,57,107,108,129,150,241"
99,"97,107",79,0,"36,129,155"
100,9,100,0,0
101,131,101,26,81,133
102,131,0,"0","0"
103,"97,107","33,79","10,12,39","36,57,107,129,151,232,255"
104,131,105,0,"66,81",255
105,119,"1,2,4,21,33,70,95",0,"6,91,105,107,165,177,182,227,254,255,263"
106,131,0,0,"72,100,107,125,129,151,154,165,167"
107,131,0,0,"43,54,91,107,129,150"
108,1,112,0,"36,43,66,108,251"
109,97,75,0,"36,57,91,109,129,153,158,165,166,241,255,274"
110,97,114,0,"29,34,36,57,66,83,107,108,109,129,151,153,158,165,180,189,241"
111,97,"35,115",0,"57,79,83,88,91,101,107,109,129,151,154,158,164,165,182,183,227,232,239,254,255,256,269"
112,97,"11,26,34,35,80,114",0,0
113,56,115,0,"36,42,43,91,255"
114,1,0,0,"42,108,114,128,239,243,246,251"
115,131,0,0,"57,79,100,108,129,165"
