index,Primary Investor Type,Target Investment Country,Investment Type,Preferred Industry
0,1,1;2;4;16;70;114;115,0,2;8;19;25;27;29;36;57;58;66;83;91;103;107;129;146;153;154;158;189;241;255;268
1,1;64,0,0,36;57;79;84;85;100;108;129;151;227
2,1,0,13;95,2;5;7;13;22;30;31;42;54;55;64;66;71;83;91;99;100;101;107;108;111;128;129;150;154;155;156;167;173;177;180;182;183;190;210;221;227;237;239;241;246;249;251;264
3,131,0,0,36;57;129;255
4,131,1;4;70;99,0,36;57;91;111;112;129;255
5,107;131,0,43,8;19;57;64;100;108;120;129;154
6,119,35,46,0
7,6;107,0,69;72,36;227
8,1,0,0,7;22;30;66;79;83;85;91;108;120;129;136;153;167;227;232;241;249;251;263
9,64,16,0,0
10,107;131,0,0,57;107;111;113;129;147;151;165;174;190;227;255
11,69;97;107,2;4;33,18;41;44;69;72,36;57;58;66;91;107;129;147;151;153;154;158;165;171;177;182;207;237;241;255;256
12,69;97;107,0,18;39;44;68;69;72;165,0
13,107;131,0,26;40,91;107;129;153;157;165;171;189;197;232
14,131,0,0,7;43;47;54;59;61;83;102;107;108;111;112;165;177;210;232;251;256
15,1;64,100,43,41;88;90;91;143;152;169;177
16,131,0,0,1;79;83;108;113;120;128;189;211;227;232;241;268
17,107;131,39,26;60,0
18,131,0,26;66,2;7;8;13;31;55;57;58;66;79;84;107;108;120;153;158;163;165;207;211;213;227;232;241;249;255
19,131,0,0,71
20,107;131,0,0,57;64;100;108;129
21,97;107,0,0,5;91;102;107;125;129;147;154;171;182;227;255;263
22,107;131,33;70;101;115,0,7;29;53;83;152;153;157;189;241;250
23,107;131,1;4;70;99,0,8;19;42;57;64;108;128;154;221
25,97;107,4;33;79,0,36;57;58;107;129;255
26,97,0,0,71;91;129;150;154;165;227;255
27,74,39,18;35;69;72,36;107;129;198;227
28,97,115,0,14;22;28;50;51;57;58;79;107;111;112;155;165;182;207;214;232;241
29,1;131,0,13,0
30,97;107,2;21;33;46;101,0,57;91;107;129;147;151;227;251;255
31,131,0,26,36;45;57;100;108;129;153;182;235;241
32,119,0,26;40;44;72,5;91;129;154;184;227;255
33,6;107,0,39;42;72,52;57;100;129;157;241
34,97;107,0,0,36;57;66;91;108;128;129;147;151;153;165;171;232;241;255
35,131,0,0,255
36,131,0,26;40;49;81,0
37,97,33;79,0,6;22;28;40;41;83;90;99;106;107;111;129;155;165;167;169;171;180;182;189;214;241;256
38,56,0,38;81,0
39,6;107,115,0,7;29;42;57;83;91;102;129;147;151;153;155;165;171;263
40,131,0,0,19;71
41,97,0,0,21;100;108;129;155;162;241
42,58;107,0,0,1;8;19;36;55;57;66;76;83;84;108;120;127;128;129;153;163;165;167;212;221
43,131,0,0,30;90;108;129;153;241
44,97;107,115,0,36;111;112;129;227
45,97,0,18;44;68;72;76,0
46,131,0,0,1;7;15;29;42;47;62;71;83;84;85;107;108;109;111;120;127;152;157;162;166;174;175;182;189;211;232;235;240;241;255;259;264
47,97;107,0,0,255
48,74,0,42,0
49,107;131,0,0,57;100;108;129
50,1;64,0,43,19;43;66;108;154;256
51,6,2;4;33,0,35;36;41;57;91;107;129;154;171;182;183;232;246;255;263
52,107;131,0,0,57;79;100;108;118;146;180;251;258
53,6;107,0,18;41;44;68;69;72,0
54,97,79,0,36;107;129;151
55,1,114,0,0
56,131,0,0,241
57,1,0,0,44;77;79;130;137;191
58,95,0,18;28;35;44;69;72,0
59,107;131,16;33;51;76;99;115,0,255
60,131,0,26;49;81,71;83;84;101;108;120;152;157;158;241
61,131,16;69;115,26,36;57;107;255
62,107;131,0,66;81;83,151;165;241
63,97,0,0,2;7;8;19;22;36;43;46;54;59;83;85;91;96;102;129;130;151;154;164;165;167;171;227;232;244;246;251
64,6;107,1;2;4;33;70,13;18;44;68;69;72;79,36;57;58;83;107;129;147;151;153;169;177;211;218;241;255
65,97,0,0,0
66,1;53;131;132,0,13;26;66,36;176;241
67,28,0,0,43;57;64;100;118;129;165
68,1,115,26;81,2;29;36;37;57;58;91;129;146;147;151;154;165;177;255
69,97;107,0,0,36;107;108;128;129;255
70,1,28;92;113;115,0,73;120;154;273
71,131,0,0,64;273
72,131,0,26,273
73,119,0,18;28;35;44;69;72,0
74,97;107,4;16;51;114;115,0,36;52;53;57;66;83;107;108;129;147;153;154;165;171;182;232;241;263
75,28,0,0,153;165;171
76,97;107,2;4;33;70;115,18;69;72,36;41;57;107;164;171
77,58;107,1;2;20;33;46;69;70;101,0,36;57;58;107;129;153;254
78,107;131,0,0,8;19;30;45;57;64;66;71;75;108;129;175;241;276
79,97;107,79,0,52;57;129;147;151;232;255;276
80,131,0,0,7;18;43;91;227;263;273
81,78,36,26,1;7;8;19;36;42;43;45;50;55;66;79;84;85;107;129;153;156;163;165;207;233;241;243;268
82,28,0,0,31;64;107;108;153;154;185;196;273
83,95,0,18;28;95,0
84,97;107,79,0,107;129;151;241
85,107;131,0,0,8;19;57;68;75;84;101;108;119;129;175;182;190;208;235
86,107;131,33;115,26;41,77;129;165
87,5,0,0,57;129;165;227;255
88,131,0,66,128;129
89,97,35,10;26;49;81;95,25;36;57;58;83;129;153;165;171;189
90,131,0,81,36;255
91,97;107,115,0,3;21;36;85;91;102;107;108;117;126;141;151;154;155;165;171;174;176;241
92,6;107,0,18;35;44;69;72,14;28;50;51;57;58;87;101;107;112;182;227;232;261
93,1,105,0,8;19;29;36;57;58;83;91;107;129;153;165;177;241;255
95,107;131,2;4;33,0,79;108;129;165;180;241;255;258
96,28,0,0,8;19;31;108;128;129;154;183
97,34,0,0,0
98,97;107,16;115,0,36;57;107;129;151;156;241;255
99,97;107,79,0,36;129;155
100,45,0,0,0
101,131,0,26;81,133
102,131,0,0,0
103,97;107,33;79,10;12;39,36;57;107;129;151;255
104,131,105,66;81,255
105,119,2;4;21;33;70;95;115,0,6;57;91;107;165;177;183;198;227;232;255;256
106,131,0,0,72;100;125;153;154;165;167;171;241
107,28,0,0,43;150;151;190;251
108,1,33,0,36;66;108;241;249;251
109,97,0,0,36;57;58;129;153;158;165;241;255;274
110,97,0,0,29;36;57;66;79;83;107;128;129;151;153;158;165;189;207;232;241
111,97,33;115,0,57;58;79;83;87;91;102;107;108;128;154;157;165;171;182;183;227;230;232;239;256;269
112,97,11;26;34;35;78;114,0,0
113,56,115,0,36;42;43;91;255
114,1,0,0,43;108;128;150;234;243;246;251
115,131,0,0,57;79;100;108;129;165
120,97;107,2;4;33;59,0,36;57;129;147;151;232;255
121,131,52,40,7;8;14;19;29;42;57;58;79;84;85;91;107;108;129;153;156;165;169;171;198;241;268
122,107;131,0,0,64
123,97,0,0,36;57;107;129;151;255
124,131,0,66;81,255
125,97,0,0,36;57;59;129;151;255
126,107;131,0,0,154;273
127,131,0,0,47;57;58;79;84;85;108;128;175;190;241;255
128,107;131,0,66;81,8;19;30;43;57;71;100;108;129;241
129,131,0,40;81,30;91;101;130;153;157;171;177;183;187;198;232
130,97;107,0,0,57;91;95;151;241;255
131,97;107,0,10;39,43;108;182;255;256
132,131,0,0,31;64
133,1,16,81,8;57;100;102;127;129;165
134,131,51;101;115,0,30;42;100;129;153;165;171;177
135,131,21,0,3;5;12;19;30;90;91;153;171;177;184
136,131,0,0,36;47;71;81;84;108;113;120;151;167;190;213;221;241;243;255;259
137,97;107,0,0,36;57;129;147;151;241
138,6,16;33;115,0,36;57;107;129;151;241;263
139,6,0,18;44;45;68;69;72,94;230
140,131,0,0,30;47;57;108;129;143;153;237;256
141,131,0,0,255
142,107;131,0,26;49,5;30;90;154;177
143,131,95,26;40;49;81,7;15;43;47;64;83;84;108;120;128;153;167;241
144,28,0,0,108
145,6,0,0,0
