antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Investment Categories_Venture capital', 'Investment Categories_Seed round'})",frozenset({'Primary Investor Type_Venture Capital'}),0.14149856542189804,0.04868026152615629,0.04680907269752049,0.3308095213400405,6.795557603204205,1.0,0.03992088552720656,1.4215978391964608,0.9934113173497444,0.3264919643771113,0.29656617896574977,0.6461855867176536
frozenset({'Primary Investor Type_Venture Capital'}),"frozenset({'Investment Categories_Venture capital', 'Investment Categories_Seed round'})",0.04868026152615629,0.14149856542189804,0.04680907269752049,0.9615616520952668,6.795557603204204,1.0,0.03992088552720656,22.33450398820049,0.8964862249563493,0.3264919643771113,0.9552262275209555,0.6461855867176536
frozenset({'Investment Categories_Seed round'}),"frozenset({'Investment Categories_Venture capital', 'Primary Investor Type_Venture Capital'})",0.14405952581873685,0.04826933378339705,0.04680907269752049,0.3249286878565607,6.731575979785425,1.0,0.039855415361097976,1.4098224129755035,0.9947495214063146,0.3216680954061822,0.2906908055962538,0.6473381657586239
"frozenset({'Investment Categories_Venture capital', 'Primary Investor Type_Venture Capital'})",frozenset({'Investment Categories_Seed round'}),0.04826933378339705,0.14405952581873685,0.04680907269752049,0.9697476436606871,6.731575979785424,1.0,0.039855415361097976,28.29334894052434,0.8946295493753965,0.3216680954061822,0.9646560044163698,0.6473381657586239
frozenset({'Investment Categories_Seed round'}),frozenset({'Primary Investor Type_Venture Capital'}),0.14405952581873685,0.04868026152615629,0.046933818619429545,0.3257946210268948,6.692540483823055,1.0,0.03992096322723937,1.4110236556148759,0.9937372234044752,0.32189229994967283,0.29129465971693147,0.6449594148245719
frozenset({'Primary Investor Type_Venture Capital'}),frozenset({'Investment Categories_Seed round'}),0.04868026152615629,0.14405952581873685,0.046933818619429545,0.964124208622249,6.692540483823055,1.0,0.03992096322723937,23.85844162066596,0.8941051844219512,0.32189229994967283,0.9580861140933107,0.6449594148245719
"frozenset({'Investment Categories_Seed round', 'Primary Investor Type_Venture Capital'})",frozenset({'Investment Categories_Venture capital'}),0.046933818619429545,0.17584772191932607,0.04680907269752049,0.9973420888055035,5.671623595232332,1.0,0.03855586761231896,310.07517474141326,0.8642460103593641,0.2660022517826613,0.9967749756141105,0.6317665209509074
frozenset({'Investment Categories_Venture capital'}),"frozenset({'Investment Categories_Seed round', 'Primary Investor Type_Venture Capital'})",0.17584772191932607,0.046933818619429545,0.04680907269752049,0.26619095309631113,5.671623595232331,1.0,0.03855586761231896,1.298793174330622,0.9994313754550637,0.2660022517826613,0.23005446920724348,0.6317665209509074
frozenset({'Investment Categories_Venture capital'}),frozenset({'Primary Investor Type_Venture Capital'}),0.17584772191932607,0.04868026152615629,0.04826933378339705,0.27449507594725425,5.638734619364481,1.0,0.03970902069158545,1.3112519390766817,0.9981835500291493,0.2738551207327227,0.23737005056087848,0.6330268566350682
frozenset({'Primary Investor Type_Venture Capital'}),frozenset({'Investment Categories_Venture capital'}),0.04868026152615629,0.17584772191932607,0.04826933378339705,0.9915586373228821,5.63873461936448,1.0,0.03970902069158545,97.63261094262786,0.8647515797569004,0.2738551207327227,0.9897575206650201,0.6330268566350682
frozenset({'Investment Categories_Seed round'}),frozenset({'Investment Categories_Venture capital'}),0.14405952581873685,0.17584772191932607,0.14149856542189804,0.982222901385493,5.585644730934352,1.0,0.11616602598589482,46.360336742921724,0.9591433778849058,0.7931147945543536,0.9784298374374366,0.8934441163579109
frozenset({'Investment Categories_Venture capital'}),frozenset({'Investment Categories_Seed round'}),0.17584772191932607,0.14405952581873685,0.14149856542189804,0.8046653313303288,5.585644730934352,1.0,0.11616602598589482,4.381917864404996,0.996138285981007,0.7931147945543536,0.7717894239590486,0.8934441163579109
frozenset({'Investment Categories_Venture capital'}),"frozenset({'Primary Investor Type_0', 'Investment Categories_Seed round'})",0.17584772191932607,0.05008915664418794,0.049149893232166834,0.27950258721415455,5.580101681480126,1.0,0.04034182914342611,1.318409790928917,0.995922498687623,0.27801759920305497,0.24151048719425372,0.6303753779903178
