Investors,Primary Contact,Description,Geography,Preferred Industry,Preferred Investment Type,Primary Investor Type,geography_tags,preferred_investment_type_tags,preferred_industry_tags
Techstars,David Cohen,"Founded in 26, Techstars is an accelerator based in New York, New York. The firm prefers to invest in business products, business services, consumer products, consumer services, financial services, energy, healthcare, information technology, software as a service, mobile, big data, internet of things, e-commerce, 3D printing, advanced manufacturing, augmented reality, B2B payments, beauty, esports, virtual reality, cybersecurity, impact investing, infrastructure, artificial intelligence, machine learning, and technology-based sectors in the United States, Canada, America, Asia, Africa, Middle East, Oceania, and United Kingdom regions. ","Africa, Americas, Asia, Canada, Middle East, Oceania, United Kingdom, United States","Beverages, Computer Hardware, Education and Training Services (B2B), Educational and Training Services (B2C), Energy, Financial Services, Food Products, Healthcare, Media, Restaurants, Hotels and Leisure, Software","Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Accelerator/Incubator,"['africa' 'americas' 'asia' 'canada' 'middle east' 'oceania'
 'united kingdom' 'united states']",['accelerator/incubator' 'early stage vc' 'later stage vc' 'seed round'],"['beverages' 'computer hardware' 'education and training services (b2b)'
 'educational and training services (b2c)' 'energy' 'financial services'
 'food products' 'healthcare' 'media' 'restaurants' 'hotels and leisure'
 'software']"
Y Combinator,David Lieb,"Founded in 25, Y Combinator is an accelerator and incubator firm based in Mountain View, California. The firm seeks to provide resources and investments to startups operating in the business-to-business software and services, education, consumer, healthcare, real estate and construction, financial technology, industrials, and government sectors. ","Africa, Americas, Asia, Europe, Oceania, United States","Biotechnology, Commercial Transportation, Communications and Networking, Construction and Engineering, Education and Training Services (B2B), Financial Services, Government, Media and Information Services (B2B), Other Healthcare, Real Estate Services (B2C), Software, Transportation","Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Accelerator/Incubator,['africa' 'americas' 'asia' 'europe' 'oceania' 'united states'],['accelerator/incubator' 'early stage vc' 'later stage vc' 'seed round'],"['biotechnology' 'commercial transportation'
 'communications and networking' 'construction and engineering'
 'education and training services (b2b)' 'financial services' 'government'
 'media and information services (b2b)' 'other healthcare'
 'real estate services (b2c)' 'software' 'transportation']"
Plug and Play Tech Center,Marc Steiner,"Founded in 26, Plug and Play Tech Center is an accelerator based in Sunnyvale, California. The firm prefers to invest in companies operating in advanced manufacturing, aerospace and defense, agricultural technology, animal health, brand and retail, cryptocurrency and digital assets, deep technology, energy, enterprise and artificial intelligence, financial technology, food and beverage, global overseas acceleration and learning, health, insurance technology, maritime, media and advertising, medical technology, mobility, new materials and packaging, real estate and construction, semiconductors, smart cities, sports technology, supply chain and logistics, sustainability, and travel and hospitality sectors. The firm also makes venture capital investments. ","Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Aerospace and Defense, Animal Husbandry, Aquaculture, Beverages, Communications and Networking, Construction and Engineering, Energy, Financial Software, Food Products, Healthcare, Insurance, Marine, Other Financial Services, Other Information Technology, Real Estate Services (B2C), Retail, Semiconductors","Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Accelerator/Incubator,"['africa' 'americas' 'asia' 'canada' 'europe' 'middle east' 'oceania'
 'united states']",['accelerator/incubator' 'early stage vc' 'later stage vc' 'seed round'],"['aerospace and defense' 'animal husbandry' 'aquaculture' 'beverages'
 'communications and networking' 'construction and engineering' 'energy'
 'financial software' 'food products' 'healthcare' 'insurance' 'marine'
 'other financial services' 'other information technology'
 'real estate services (b2c)' 'retail' 'semiconductors']"
Gaingels,Paul Grossinger,"Founded in 214, Gaingels is a venture capital investment firm based in Burlington, Vermont. The firm seeks to invest in companies operating in technology, B2B, healthcare, and consumer sectors. ","Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Healthcare, Materials and Resources, Other Financial Services, Software","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,"['africa' 'americas' 'asia' 'canada' 'europe' 'middle east' 'oceania'
 'united states']",['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['business products and services (b2b)'
 'consumer products and services (b2c)' 'energy' 'healthcare'
 'materials and resources' 'other financial services' 'software']"
Antler,Magnus Grimeland,"Founded in 217, Antler is a venture capital investment firm based in Singapore. The firm seeks to invest in the healthcare, finance, food &amp; beverage, energy, b2b, consumer and technology sectors. ","Australia, Brazil, Canada, China, Denmark, Estonia, France, Germany, India, Indonesia, Japan, Kenya, Malaysia, Netherlands, Norway, Pakistan, Philippines, Portugal, Singapore, South Korea, Spain, Sweden, Thailand, United Arab Emirates, United Kingdom, United States, Vietnam","Agriculture, Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Financial Services, Healthcare, Software","Accelerator/Incubator, Early Stage VC, Seed Round",Venture Capital,"['australia' 'brazil' 'canada' 'china' 'denmark' 'estonia' 'france'
 'germany' 'india' 'indonesia' 'japan' 'kenya' 'malaysia' 'netherlands'
 'norway' 'pakistan' 'philippines' 'portugal' 'singapore' 'south korea'
 'spain' 'sweden' 'thailand' 'united arab emirates' 'united kingdom'
 'united states' 'vietnam']",['accelerator/incubator' 'early stage vc' 'seed round'],"['agriculture' 'business products and services (b2b)'
 'consumer products and services (b2c)' 'energy' 'financial services'
 'healthcare' 'software']"
Andreessen Horowitz,Marc L. Andreessen,"Founded in 29, Andreessen Horowitz is a venture capital firm based in Menlo Park, California. The firm incubates and invests in startups. The firm seeks to invest in sectors such as bio healthcare, artificial intelligence, consumer, crypto, enterprise, fintech, games, infrastructure, and in companies building toward American dynamism. This firm is a Registered Investment Adviser (RIA). ",,"Business/Productivity Software, Consumer Products and Services (B2C), Financial Services, Healthcare Technology Systems, Pharmaceuticals and Biotechnology","Accelerator/Incubator, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,[''],"['accelerator/incubator' 'early stage vc' 'later stage vc'
 'pe growth/expansion' 'seed round']","['business/productivity software' 'consumer products and services (b2c)'
 'financial services' 'healthcare technology systems'
 'pharmaceuticals and biotechnology']"
Bpifrance,Nicolas Jacquemin,"Founded in 212, Bpifrance is a sovereign wealth fund that is based in Paris, France. The firm offers financing, investment, and investment banking services to companies at every stage of their development and supports the growth of SMEs throughout France. The firm works in partnership with private players in financing such investments and acts as a catalyst and strengthens the investment capacity of businesses throughout their life cycle. ",France,"Apparel and Accessories, Commercial Products, Commercial Services, Communications and Networking, Consumer Non-Durables, Energy Equipment, Exploration, Production and Refining, Insurance, Media, Other Information Technology, Pharmaceuticals and Biotechnology, Restaurants, Hotels and Leisure, Retail, Software","Buyout/LBO, Debt - General, Early Stage VC, Later Stage VC, Mezzanine, PE Growth/Expansion, Seed Round",Sovereign Wealth Fund,['france'],"['buyout/lbo' 'debt - general' 'early stage vc' 'later stage vc'
 'mezzanine' 'pe growth/expansion' 'seed round']","['apparel and accessories' 'commercial products' 'commercial services'
 'communications and networking' 'consumer non-durables'
 'energy equipment' 'exploration' 'production and refining' 'insurance'
 'media' 'other information technology'
 'pharmaceuticals and biotechnology' 'restaurants' 'hotels and leisure'
 'retail' 'software']"
Ares Management (NYS: ARES),Jarrod Phillips,"Founded in 1997, Ares Management is an asset management firm based in Los Angeles, California. The firm prefers to invest in the private equity, real estate, business products, and services sectors. This firm is a Registered Investment Adviser (RIA). ","China, Europe, North America","Apparel and Accessories, Commercial Products, Commercial Services, Commercial Transportation, Consumer Durables, Consumer Non-Durables, Media, Other Business Products and Services, Other Services (B2C Non-Financial), Real Estate Services (B2C), Restaurants, Hotels and Leisure, Retail","Buyout/LBO, Debt - General, PE Growth/Expansion",Asset Manager,['china' 'europe' 'north america'],['buyout/lbo' 'debt - general' 'pe growth/expansion'],"['apparel and accessories' 'commercial products' 'commercial services'
 'commercial transportation' 'consumer durables' 'consumer non-durables'
 'media' 'other business products and services'
 'other services (b2c non-financial)' 'real estate services (b2c)'
 'restaurants' 'hotels and leisure' 'retail']"
Google for Startups,Kevin O'Toole,"Founded in 211, Google for Startups is an accelerator based in San Francisco, California. The firm focuses on healthcare and biotechnology, retail, and e-commerce, finance, sustainability and energy, software as a service (SaaS), logistics and supply chain, education, real estate, gaming, agriculture, entertainment and media, transportation, cybersecurity, and hospitality technology sectors. ","Africa, Asia, Central America, Europe, Middle East, South America","Application Software, Automation/Workflow Software, Business/Productivity Software, Commercial Services, Communication Software, Communications and Networking, Computer Hardware, Consumer Products and Services (B2C), Database Software, Educational Software, Entertainment Software, Financial Software, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Internet Software, IT Services, Multimedia and Design Software, Other Healthcare, Other Information Technology, Pharmaceuticals and Biotechnology, Semiconductors","Accelerator/Incubator, Grant, Seed Round",Accelerator/Incubator,['africa' 'asia' 'central america' 'europe' 'middle east' 'south america'],['accelerator/incubator' 'grant' 'seed round'],"['application software' 'automation/workflow software'
 'business/productivity software' 'commercial services'
 'communication software' 'communications and networking'
 'computer hardware' 'consumer products and services (b2c)'
 'database software' 'educational software' 'entertainment software'
 'financial software' 'healthcare devices and supplies'
 'healthcare services' 'healthcare technology systems' 'internet software'
 'it services' 'multimedia and design software' 'other healthcare'
 'other information technology' 'pharmaceuticals and biotechnology'
 'semiconductors']"
University of Toronto Entrepreneurship,Jon French,"Founded in 1827, University of Toronto Entrepreneurship is an innovation hub based in Toronto, Canada. The firm offers a broad range of startup services and serves as the connective tissue for the University of Toronto's 12 campus accelerators. ",Canada,"Apparel and Accessories, Beverages, Business Products and Services (B2B), Energy, Financial Services, Food Products, Healthcare Technology Systems, Materials and Resources, Movies, Music and Entertainment, Other Healthcare, Other Information Technology, Other Media, Pharmaceuticals and Biotechnology, Software","Accelerator/Incubator, Grant",Accelerator/Incubator,['canada'],['accelerator/incubator' 'grant'],"['apparel and accessories' 'beverages'
 'business products and services (b2b)' 'energy' 'financial services'
 'food products' 'healthcare technology systems' 'materials and resources'
 'movies' 'music and entertainment' 'other healthcare'
 'other information technology' 'other media'
 'pharmaceuticals and biotechnology' 'software']"
